date,high_T,low_T,skycon,skycon2
2016/6/9,25,19,cloudy,cloudy
2016/6/10,27,22,partly_cloudy_day,cloudy
2016/6/11,30,23,cloudy,cloudy
2016/6/12,26,20,rain,rain
2016/6/13,31,22,partly_cloudy_day,cloudy
2016/6/14,33,25,partly_cloudy_day,cloudy
2016/6/15,30,22,rain,rain
2016/6/16,30,20,partly_cloudy_day,cloudy
2016/6/17,32,23,clear_day,clear_day
2016/6/18,33,25,partly_cloudy_day,cloudy
2016/6/19,32,25,rain,rain
2016/6/20,29,25,rain,rain
2016/6/21,29,24,rain,rain
2016/6/22,31,25,rain,rain
2016/6/23,33,27,rain,rain
2016/6/24,27,21,rain,rain
2016/6/25,27,20,rain,rain
2016/6/26,29,21,partly_cloudy_day,cloudy
2016/6/27,22,19,rain,rain
2016/6/28,25,21,rain,rain
2016/6/29,28,22,cloudy,cloudy
2016/6/30,33,25,partly_cloudy_day,cloudy
2016/7/1,26,23,rain,rain
2016/7/2,26,22,rain,rain
2016/7/3,25,22,rain,rain
2016/7/4,27,22,rain,rain
2016/7/5,28,23,rain,rain
2016/7/6,28,25,rain,rain
2016/7/7,30,24,rain,rain
2016/7/8,32,24,cloudy,cloudy
2016/7/9,31,24,partly_cloudy_day,cloudy
2016/7/10,28,24,rain,rain
2016/7/11,29,24,rain,rain
2016/7/12,32,26,partly_cloudy_day,cloudy
2016/7/13,32,26,rain,rain
2016/7/14,29,26,rain,rain
2016/7/15,33,22,rain,rain
2016/7/16,29,22,partly_cloudy_day,cloudy
2016/7/17,32,24,partly_cloudy_day,cloudy
2016/7/18,32,26,cloudy,cloudy
2016/7/19,32,26,rain,rain
2016/7/20,36,28,clear_day,clear_day
2016/7/21,37,29,partly_cloudy_day,cloudy
2016/7/22,37,29,clear_day,clear_day
2016/7/23,38,30,clear_day,clear_day
2016/7/24,38,30,clear_day,clear_day
2016/7/25,38,29,clear_day,clear_day
2016/7/26,39,30,clear_day,clear_day
2016/7/27,38,30,partly_cloudy_day,cloudy
2016/7/28,38,29,clear_day,clear_day
2016/7/29,38,30,clear_day,clear_day
2016/7/30,37,28,clear_day,clear_day
2016/7/31,36,27,partly_cloudy_day,cloudy
2016/8/1,35,27,clear_day,clear_day
2016/8/2,35,27,rain,rain
2016/8/3,32,25,rain,rain
2016/8/4,33,26,rain,rain
2016/8/5,33,26,rain,rain
2016/8/6,33,26,rain,rain
2016/8/7,34,26,partly_cloudy_day,cloudy
2016/8/8,35,26,rain,rain
2016/8/9,34,27,partly_cloudy_day,cloudy
2016/8/10,33,27,rain,rain
2016/8/11,35,27,partly_cloudy_day,cloudy
2016/8/12,35,27,partly_cloudy_day,cloudy
2016/8/13,36,28,partly_cloudy_day,cloudy
2016/8/14,35,27,clear_day,clear_day
2016/8/15,35,27,clear_day,clear_day
2016/8/16,34,26,partly_cloudy_day,cloudy
2016/8/17,34,26,partly_cloudy_day,cloudy
2016/8/18,35,28,clear_day,clear_day
2016/8/19,36,28,clear_day,clear_day
2016/8/20,36,27,rain,rain
2016/8/21,31,26,rain,rain
2016/8/22,34,27,partly_cloudy_day,cloudy
2016/8/23,34,24,partly_cloudy_day,cloudy
2016/8/24,33,23,clear_day,clear_day
2016/8/25,34,25,partly_cloudy_day,cloudy
2016/8/26,28,23,rain,rain
2016/8/27,29,20,partly_cloudy_day,cloudy
2016/8/28,30,19,clear_day,clear_day
2016/8/29,30,21,clear_day,clear_day
2016/8/30,30,21,clear_day,clear_day
2016/8/31,31,22,partly_cloudy_day,cloudy
2016/9/1,33,23,partly_cloudy_day,cloudy
2016/9/2,34,22,clear_day,clear_day
2016/9/3,34,23,clear_day,clear_day
2016/9/4,31,22,partly_cloudy_day,cloudy
2016/9/5,32,23,partly_cloudy_day,cloudy
2016/9/6,27,21,rain,rain
2016/9/7,27,20,rain,rain
2016/9/8,30,21,partly_cloudy_day,cloudy
2016/9/9,33,23,partly_cloudy_day,cloudy
2016/9/10,30,21,cloudy,cloudy
2016/9/11,28,20,partly_cloudy_day,cloudy
2016/9/12,30,20,partly_cloudy_day,cloudy
2016/9/13,31,21,partly_cloudy_day,cloudy
2016/9/14,29,22,partly_cloudy_day,cloudy
2016/9/15,24,21,rain,rain
2016/9/16,24,22,rain,rain
